X = 4.42     Z = 234.28  
X = 4.34     Z = 234.285 
X = 4.265    Z = 234.355 
X = 4.19     Z = 234.445 
X = 4.115    Z = 234.5   
X = 4.035    Z = 234.525 
X = 3.96     Z = 234.495 
X = 3.885    Z = 234.46  
X = 3.805    Z = 234.47  
X = 3.73     Z = 234.45  
X = 3.65     Z = 234.41  
X = 3.575    Z = 234.395 
X = 3.495    Z = 234.375 
X = 3.42     Z = 234.4   
X = 3.345    Z = 234.46  
X = 3.27     Z = 234.595 
X = 4.15     Z = 0       
X = 4.025    Z = 0       
X = 2.815    Z = 215.815 
X = 2.745    Z = 215.75  
X = 2.67     Z = 215.76  
X = 2.6      Z = 215.755 
X = 2.525    Z = 215.725 
X = 2.455    Z = 215.71  
X = 2.38     Z = 215.71  
X = 2.31     Z = 215.7   
X = 2.24     Z = 215.7   
X = 2.165    Z = 215.72  
X = 2.095    Z = 215.74  
X = 2.025    Z = 215.77  
X = 1.95     Z = 215.8   
X = 1.88     Z = 215.815 
X = 1.81     Z = 215.81  
X = 1.735    Z = 215.83  
X = 1.665    Z = 215.855 
X = 1.59     Z = 215.82  
X = 1.52     Z = 215.77  
X = 1.45     Z = 215.75  
X = 1.375    Z = 215.77  
X = 1.305    Z = 215.805 
X = 1.23     Z = 215.81  
X = 1.16     Z = 215.81  
X = 1.09     Z = 215.805 
X = 1.015    Z = 215.795 
X = 0.945    Z = 215.775 
X = 0.87     Z = 215.73  
X = 0.8      Z = 215.74  
X = 0.725    Z = 215.775 
X = 0.655    Z = 215.805 
X = 0.585    Z = 215.82  
X = 0.51     Z = 215.86  
X = 0.44     Z = 215.88  
X = 0.37     Z = 215.855 
X = 0.295    Z = 215.845 
X = 0.225    Z = 215.855 
X = 0.15     Z = 215.875 
X = 0.08     Z = 215.885 
X = 0.005    Z = 215.88  
X = -0.065   Z = 215.885 
X = -0.135   Z = 215.895 
X = -0.21    Z = 215.885 
X = -0.28    Z = 215.85  
X = -0.35    Z = 215.825 
X = -0.425   Z = 215.84  
X = -0.495   Z = 215.875 
X = -0.57    Z = 215.885 
X = -0.64    Z = 215.86  
X = -0.71    Z = 215.845 
X = -0.785   Z = 215.88  
X = -0.855   Z = 215.92  
X = -0.93    Z = 215.92  
X = -1       Z = 215.9   
X = -1.07    Z = 215.915 
X = -1.145   Z = 215.945 
X = -1.215   Z = 215.96  
X = -1.285   Z = 215.965 
X = -1.36    Z = 215.95  
X = -1.43    Z = 215.955 
X = -1.505   Z = 215.96  
X = -1.575   Z = 215.95  
X = -1.645   Z = 215.96  
X = -1.72    Z = 216     
X = -1.79    Z = 216.005 
X = -1.865   Z = 215.985 
X = -1.935   Z = 215.965 
X = -2.005   Z = 215.96  
X = -2.08    Z = 215.935 
X = -2.15    Z = 215.91  
X = -2.225   Z = 215.93  
X = -2.295   Z = 215.94  
X = -2.365   Z = 215.94  
X = -2.44    Z = 215.965 
X = -2.51    Z = 215.965 
X = -2.58    Z = 215.935 
X = -2.655   Z = 215.92  
X = -2.725   Z = 215.915 
X = -2.795   Z = 215.92  
X = -2.87    Z = 215.895 
X = -2.94    Z = 215.865 
X = -3.015   Z = 215.92  
X = -3.085   Z = 215.99  
X = -3.155   Z = 215.96  
X = -3.23    Z = 215.92  
X = -3.3     Z = 215.92  
X = -3.375   Z = 215.93  
X = -3.445   Z = 215.96  
X = -3.515   Z = 215.95  
X = -3.59    Z = 215.92  
X = -3.66    Z = 215.915 
X = -3.735   Z = 215.935 
X = -3.805   Z = 215.96  
X = -3.875   Z = 216     
X = -3.95    Z = 216.035 
X = -4.02    Z = 216.04  
X = -4.095   Z = 216.07  
X = -4.165   Z = 216.07  
X = -4.235   Z = 216.035 
X = -4.31    Z = 216.03  
X = -4.38    Z = 216.04  
X = -4.455   Z = 216.02  
X = -4.525   Z = 215.97  
X = -4.595   Z = 215.92  
X = -4.665   Z = 215.935 
X = -4.74    Z = 216.005 
X = -4.815   Z = 216.045 
X = -4.885   Z = 216.05  
X = -4.955   Z = 216.03  
X = -5.025   Z = 215.975 
X = -5.1     Z = 215.92  
X = -5.17    Z = 215.915 
X = -5.245   Z = 215.955 
X = -5.315   Z = 216.005 
X = -5.39    Z = 216.025 
X = -5.46    Z = 216.015 
X = -5.53    Z = 215.995 
X = -5.605   Z = 215.985 
X = -5.675   Z = 216.02  
X = -5.75    Z = 216.09  
X = -5.825   Z = 216.11  
X = -5.895   Z = 216.11  
X = -5.965   Z = 216.055 
X = -6.035   Z = 215.995 
X = -6.105   Z = 215.975 
X = -6.18    Z = 215.96  
X = -6.25    Z = 215.955 
X = -6.325   Z = 216.015 
X = -6.4     Z = 216.055 
X = -6.47    Z = 216.005 
X = -6.54    Z = 215.96  
X = -6.615   Z = 215.94  
X = -6.685   Z = 215.92  
X = -6.755   Z = 215.91  
X = -6.83    Z = 215.935 
X = -6.9     Z = 215.95  
X = -6.975   Z = 215.965 
X = -7.045   Z = 215.965 
X = -7.12    Z = 215.97  
X = -7.19    Z = 216.025 
X = -7.265   Z = 216.065 
X = -7.34    Z = 216.04  
X = -7.41    Z = 216.015 
X = -7.48    Z = 216.02  
X = -7.555   Z = 216.045 
X = -7.63    Z = 216.075 
X = -7.7     Z = 216.09  
X = -7.775   Z = 216.105 
X = -7.845   Z = 216.12  
X = -7.915   Z = 216.085 
X = -7.99    Z = 216.045 
X = -8.06    Z = 216.065 
X = -8.135   Z = 216.095 
X = -8.205   Z = 216.13  
X = -8.28    Z = 216.15  
X = -8.35    Z = 216.115 
X = -8.425   Z = 216.09  
X = -8.495   Z = 216.1   
X = -8.565   Z = 216.09  
X = -8.64    Z = 216.075 
X = -8.715   Z = 216.09  
X = -8.785   Z = 216.12  
X = -8.86    Z = 216.125 
X = -8.93    Z = 216.115 
X = -9       Z = 216.12  
X = -9.075   Z = 216.165 
X = -9.15    Z = 216.185 
X = -9.22    Z = 216.155 
X = -9.29    Z = 216.125 
X = -9.365   Z = 216.125 
X = -9.44    Z = 216.155 
X = -9.51    Z = 216.155 
X = -9.58    Z = 216.15  
X = -9.655   Z = 216.15  
X = -9.725   Z = 216.155 
X = -9.8     Z = 216.165 
X = -9.875   Z = 216.185 
X = -9.945   Z = 216.195 
X = -10.015  Z = 216.195 
X = -10.09   Z = 216.195 
X = -10.165  Z = 216.2   
X = -10.235  Z = 216.22  
X = -10.31   Z = 216.22  
X = -10.38   Z = 216.2   
X = -10.45   Z = 216.17  
X = -10.525  Z = 216.15  
X = -10.595  Z = 216.11  
X = -10.665  Z = 216.075 
X = -10.735  Z = 216.065 
X = -10.81   Z = 216.105 
X = -10.885  Z = 216.135 
X = -10.955  Z = 216.155 
X = -11.03   Z = 216.23  
X = -11.105  Z = 216.255 
X = -11.175  Z = 216.205 
X = -11.245  Z = 216.18  
X = -11.32   Z = 216.17  
X = -11.39   Z = 216.195 
X = -11.465  Z = 216.235 
X = -11.535  Z = 216.225 
X = -11.61   Z = 216.2   
X = -11.68   Z = 216.195 
X = -11.75   Z = 216.185 
X = -11.825  Z = 216.185 
X = -11.895  Z = 216.18  
X = -11.965  Z = 216.155 
X = -12.035  Z = 216.125 
X = -12.11   Z = 216.16  
X = -12.185  Z = 216.235 
X = -12.26   Z = 216.245 
X = -12.33   Z = 216.19  
X = -12.4    Z = 216.16  
X = -12.47   Z = 216.18  
X = -12.545  Z = 216.22  
X = -12.615  Z = 216.25  
X = -12.69   Z = 216.235 
X = -12.76   Z = 216.22  
X = -12.83   Z = 216.205 
X = -12.9    Z = 216.16  
X = -12.975  Z = 216.18  
X = -13.05   Z = 216.28  
X = -13.125  Z = 216.315 
X = -13.195  Z = 216.275 
X = -13.265  Z = 216.225 
X = -13.335  Z = 216.21  
X = -13.405  Z = 216.21  
X = -13.48   Z = 216.2   
X = -13.55   Z = 216.19  
X = -13.62   Z = 216.195 
X = -13.695  Z = 216.205 
X = -13.765  Z = 216.205 
X = -13.84   Z = 216.205 
X = -13.91   Z = 216.205 
X = -13.98   Z = 216.205 
X = -14.055  Z = 216.23  
X = -14.13   Z = 216.285 
X = -14.205  Z = 216.315 
X = -14.275  Z = 216.295 
X = -14.345  Z = 216.26  
X = -14.415  Z = 216.225 
X = -14.485  Z = 216.245 
X = -14.565  Z = 216.305 
X = -14.635  Z = 216.305 
X = -14.705  Z = 216.3   
X = -14.775  Z = 216.305 
X = -14.85   Z = 216.325 
X = -14.925  Z = 216.33  
X = -14.995  Z = 216.3   
X = -15.065  Z = 216.29  
X = -15.135  Z = 216.255 
X = -15.205  Z = 216.23  
X = -15.28   Z = 216.255 
X = -15.35   Z = 216.26  
X = -15.42   Z = 216.245 
X = -15.49   Z = 216.235 
X = -15.565  Z = 216.255 
X = -15.64   Z = 216.295 
X = -15.71   Z = 216.295 
X = -15.78   Z = 216.245 
X = -15.85   Z = 216.205 
X = -15.925  Z = 216.225 
X = -15.995  Z = 216.25  
X = -16.07   Z = 216.24  
X = -16.14   Z = 216.24  
X = -16.215  Z = 216.26  
X = -16.285  Z = 216.275 
X = -16.36   Z = 216.27  
X = -16.43   Z = 216.245 
X = -16.5    Z = 216.24  
X = -16.575  Z = 216.265 
X = -16.645  Z = 216.27  
X = -16.72   Z = 216.295 
X = -16.795  Z = 216.345 
X = -16.87   Z = 216.38  
X = -16.94   Z = 216.385 
X = -17.01   Z = 216.365 
