X = 12.49    Z = 263.095 
X = 12.41    Z = 263.065 
X = 12.33    Z = 263.07  
X = 12.255   Z = 263.015 
X = 12.18    Z = 262.97  
X = 12.105   Z = 262.975 
X = 12.02    Z = 263.02  
X = 11.94    Z = 263.105 
X = 11.865   Z = 263.12  
X = 11.79    Z = 263.015 
X = 11.715   Z = 262.97  
X = 11.635   Z = 262.95  
X = 11.56    Z = 262.865 
X = 11.49    Z = 262.75  
X = 11.41    Z = 262.735 
X = 11.335   Z = 262.745 
X = 11.25    Z = 262.775 
X = 11.17    Z = 262.825 
X = 11.095   Z = 262.86  
X = 11.015   Z = 262.855 
X = 10.94    Z = 262.81  
X = 10.86    Z = 262.75  
X = 10.785   Z = 262.715 
X = 10.71    Z = 262.67  
X = 10.635   Z = 262.64  
X = 10.555   Z = 262.675 
X = 10.47    Z = 262.795 
X = 10.39    Z = 262.88  
X = 10.315   Z = 262.815 
X = 10.24    Z = 262.66  
X = 10.165   Z = 262.6   
X = 10.085   Z = 262.62  
X = 10.01    Z = 262.585 
X = 9.93     Z = 262.56  
X = 9.855    Z = 262.54  
X = 9.78     Z = 262.415 
X = 9.7      Z = 262.42  
X = 9.62     Z = 262.495 
X = 9.545    Z = 262.505 
X = 9.465    Z = 262.445 
X = 9.39     Z = 262.405 
X = 9.315    Z = 262.365 
X = 9.235    Z = 262.33  
X = 9.16     Z = 262.305 
X = 9.08     Z = 262.285 
X = 9.005    Z = 262.275 
X = 8.925    Z = 262.255 
X = 8.85     Z = 262.225 
X = 8.77     Z = 262.2   
X = 8.69     Z = 262.24  
X = 8.615    Z = 262.275 
X = 8.535    Z = 262.255 
X = 8.46     Z = 262.18  
X = 8.38     Z = 262.135 
X = 8.305    Z = 262.125 
X = 8.225    Z = 262.125 
X = 8.145    Z = 262.165 
X = 8.065    Z = 262.22  
X = 7.99     Z = 262.185 
X = 7.91     Z = 262.11  
X = 7.835    Z = 262.045 
X = 7.76     Z = 262.01  
X = 7.68     Z = 261.97  
X = 7.6      Z = 261.98  
X = 7.525    Z = 262.04  
X = 7.445    Z = 262.005 
X = 7.37     Z = 261.895 
X = 7.29     Z = 261.88  
X = 7.21     Z = 261.9   
X = 7.135    Z = 261.9   
X = 7.055    Z = 261.89  
X = 6.975    Z = 261.91  
X = 6.9      Z = 261.9   
X = 6.82     Z = 261.87  
X = 6.745    Z = 261.86  
X = 6.665    Z = 261.855 
X = 6.585    Z = 261.84  
X = 6.51     Z = 261.835 
X = 6.43     Z = 261.845 
X = 6.35     Z = 261.84  
X = 6.275    Z = 261.8   
X = 6.195    Z = 261.725 
X = 6.12     Z = 261.71  
X = 6.04     Z = 261.755 
X = 5.96     Z = 261.795 
X = 5.885    Z = 261.78  
X = 5.805    Z = 261.76  
X = 5.73     Z = 261.73  
X = 5.65     Z = 261.65  
X = 5.575    Z = 261.575 
X = 5.5      Z = 261.525 
X = 5.42     Z = 261.49  
X = 5.34     Z = 261.475 
X = 5.265    Z = 261.44  
X = 5.185    Z = 261.445 
X = 5.11     Z = 261.49  
X = 5.03     Z = 261.485 
X = 4.95     Z = 261.435 
X = 4.875    Z = 261.385 
X = 4.795    Z = 261.38  
